name,attack,classfication,defense,japanese_name,height_m,weight_kg,hp,speed,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,against_bug,base_egg_steps,base_happiness,base_total,capture_rate,against_dark,against_dragon,experience_growth,against_fairy,against_fire,against_electric,abilities,percentage_male,pokedex_number,sp_attack,sp_defense,against_flying,type1,type2,against_fight,generation,is_legendary
Bulbasaur,49,Seed Pokémon,49,Fushigidaneフシギダネ,0.7,6.9,45,45,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,318,45,1.0,1.0,1059860,0.5,2.0,0.5,"['Overgrow', 'Chlorophyll']",88.1,1,65,65,2.0,grass,poison,0.5,1,0
Ivysaur,62,Seed Pokémon,63,Fushigisouフシギソウ,1.0,13.0,60,60,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,405,45,1.0,1.0,1059860,0.5,2.0,0.5,"['Overgrow', 'Chlorophyll']",88.1,2,80,80,2.0,grass,poison,0.5,1,0
Venusaur,100,Seed Pokémon,123,Fushigibanaフシギバナ,2.0,100.0,80,80,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,625,45,1.0,1.0,1059860,0.5,2.0,0.5,"['Overgrow', 'Chlorophyll']",88.1,3,122,120,2.0,grass,poison,0.5,1,0
Charmander,52,Lizard Pokémon,43,Hitokageヒトカゲ,0.6,8.5,39,65,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,309,45,1.0,1.0,1059860,0.5,0.5,1.0,"['Blaze', 'Solar Power']",88.1,4,60,50,1.0,fire,,1.0,1,0
Charmeleon,64,Flame Pokémon,58,Lizardoリザード,1.1,19.0,58,80,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,405,45,1.0,1.0,1059860,0.5,0.5,1.0,"['Blaze', 'Solar Power']",88.1,5,80,65,1.0,fire,,1.0,1,0
Charizard,104,Flame Pokémon,78,Lizardonリザードン,1.7,90.5,78,100,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.25,5120,70,634,45,1.0,1.0,1059860,0.5,0.5,2.0,"['Blaze', 'Solar Power']",88.1,6,159,115,1.0,fire,flying,0.5,1,0
Squirtle,48,Tiny Turtle Pokémon,65,Zenigameゼニガメ,0.5,9.0,44,43,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,314,45,1.0,1.0,1059860,1.0,0.5,2.0,"['Torrent', 'Rain Dish']",88.1,7,50,64,1.0,water,,1.0,1,0
Wartortle,63,Turtle Pokémon,80,Kameilカメール,1.0,22.5,59,58,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,405,45,1.0,1.0,1059860,1.0,0.5,2.0,"['Torrent', 'Rain Dish']",88.1,8,65,80,1.0,water,,1.0,1,0
Blastoise,103,Shellfish Pokémon,120,Kamexカメックス,1.6,85.5,79,78,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,630,45,1.0,1.0,1059860,1.0,0.5,2.0,"['Torrent', 'Rain Dish']",88.1,9,135,115,1.0,water,,1.0,1,0
Caterpie,30,Worm Pokémon,35,Caterpieキャタピー,0.3,2.9,45,45,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3840,70,195,255,1.0,1.0,1000000,1.0,2.0,1.0,"['Shield Dust', 'Run Away']",50.0,10,20,20,2.0,bug,,0.5,1,0
